amount,hour,distance_km,device_score,international,merchant_risk,is_fraud
1252.95,7,10.63,0.839,0,0.024,0
6612.45,0,17.21,0.773,0,0.08,0
7302.95,18,3.06,0.739,0,0.454,0
1059.95,8,0,0.795,0,0.301,0
332.91,15,0,0.929,0,0.236,0
2551.06,20,0,0.897,1,0.492,0
736.79,19,8.69,0.936,0,0.701,0
5355.21,9,15.18,0.959,0,0.029,0
1861.4,11,21.61,0.913,0,0.582,0
3086.12,16,2.61,0.863,0,0.167,0
1248.74,16,20.62,0.581,0,0.141,0
3890.88,3,14.57,0.566,0,0.106,0
1231.47,2,28.29,0.906,0,0.553,0
1146.01,13,30.26,0.825,0,0.389,0
2936.74,14,0,0.853,0,0.303,0
641.22,18,19.08,0.832,0,0.185,0
950.91,3,15.68,0.855,1,0.142,0
4027.95,3,35.61,0.935,0,0.124,0
13801.52,7,6.11,0.721,0,0.217,0
10137.91,20,0,0.652,0,0.12,0
335.95,6,6.95,0.762,0,0.182,0
3167.89,20,3.91,0.764,1,0.632,0
2466.79,14,29.23,0.899,0,0.111,0
707.89,13,2.02,0.797,0,0.3,0
2089.71,6,9.34,0.733,0,0.304,0
4699.57,22,0.87,0.841,0,0.355,0
3349.01,8,7.99,0.561,0,0.066,0
4464.19,4,0,0.708,0,0.372,0
2219.93,13,40.65,0.79,0,0.403,0
868.08,18,29.62,0.846,1,0.505,0
2312.19,7,24.31,0.667,0,0.171,0
5048.88,14,14.33,0.613,1,0.121,0
2999.2,14,13.04,0.821,0,0.193,0
9002.49,22,2.62,0.763,0,0.355,0
636.69,0,4.34,0.868,0,0.123,0
4951.39,13,16.95,0.741,0,0.501,0
1078.64,3,20.75,0.776,0,0.439,0
2265.8,15,21.03,0.705,0,0.128,0
915.97,16,26.04,0.64,0,0.208,0
12922.98,5,17.65,0.579,0,0.181,0
399.78,16,14.76,0.972,0,0.436,0
1584.37,14,26.74,0.53,0,0.576,0
462.37,0,0,0.942,0,0.32,0
3045.33,8,27.44,0.759,0,0.183,0
2645.53,18,13.84,0.568,0,0.25,0
1066.08,9,5.27,0.782,0,0.254,0
872.73,14,18.95,0.649,0,0.433,0
2540.8,8,0,0.773,1,0.168,0
1265.65,18,18.77,0.671,0,0.228,0
1370.08,18,0.31,0.828,0,0.188,0
7261.57,13,0,0.907,0,0.327,0
286.7,1,13.34,0.843,1,0.161,0
1028.79,7,18.82,0.663,0,0.283,0
1356.41,4,23.74,0.842,0,0.383,0
874.51,11,0,0.919,0,0.218,0
607.36,1,31.59,0.863,0,0.126,0
770.32,5,0,0.76,0,0.534,0
4625.27,11,25.8,0.652,1,0.102,0
2908.32,16,17.31,0.851,0,0.184,0
260.23,17,0,0.762,0,0.451,0
850.26,15,0,0.501,0,0.302,0
13356.61,12,13.04,0.84,0,0.181,0
2767.79,7,6.37,0.706,0,0.103,1
179.53,21,3.54,0.621,0,0.262,0
2720.27,10,0,0.852,0,0.333,0
2055.59,15,3.61,0.89,0,0.168,0
2176.94,7,0,0.904,0,0.061,0
1301.17,19,21.15,0.664,0,0.353,0
914.19,9,15.54,0.802,0,0.394,0
352.2,2,0,0.881,0,0.069,0
3461.65,5,0,0.6,0,0.27,0
643.12,20,14.3,0.747,0,0.223,0
1485.23,22,0,0.699,0,0.046,0
167.24,20,2.47,0.928,0,0.662,0
3420.08,3,0,0.637,0,0.404,0
1870.39,11,28.22,0.857,0,0.163,0
355.04,12,7.5,0.887,0,0.167,0
2428.83,16,18.78,0.758,0,0.402,0
1180.63,8,0,0.669,0,0.019,0
3450.17,1,0,0.825,0,0.186,0
2095.83,8,10.79,0.937,0,0.141,0
728.83,6,0,0.674,0,0.41,0
738.82,17,0,0.765,0,0.237,0
1446.88,20,0,0.688,0,0.23,0
8003.94,10,22.03,0.641,1,0.503,0
1118.09,16,0,0.692,0,0.354,0
1899.27,19,14.29,0.739,0,0.149,0
1457.13,13,0,0.811,0,0.162,0
2615.41,11,23.67,0.627,0,0.446,0
11570.24,1,10.35,0.904,0,0.23,0
2584.48,17,17.57,0.874,0,0.096,0
203.98,14,13.91,0.879,0,0.203,0
320.72,13,0,0.942,1,0.206,0
4288.03,18,18.5,0.86,0,0.533,0
4993.14,23,15.75,0.719,0,0.212,1
1257.47,7,18.98,0.781,0,0.322,0
961.81,9,9.44,0.654,0,0.283,0
1506.2,6,11.14,0.949,1,0.649,0
188.31,18,10.61,0.7,0,0.237,0
1670.96,13,1.91,0.816,0,0.313,0
2694.95,15,46.52,0.964,0,0.047,0
2218.11,23,11.85,0.837,0,0.57,0
568.36,9,0,0.977,0,0.12,0
959.05,11,16.25,0.909,0,0.169,0
3663.47,23,17.52,0.583,0,0.252,0
553.97,14,0,0.78,0,0.097,0
1463.17,6,10.53,0.889,1,0.384,0
1614.24,14,7.67,0.5,0,0.461,0
1025.85,2,11.15,0.824,0,0.195,0
8168.84,16,0,0.867,0,0.147,0
1901.8,17,0.94,0.885,0,0.652,0
4219.1,12,16.25,0.748,0,0.339,0
18907.2,7,1.14,0.858,0,0.221,0
771.89,10,13.58,0.675,0,0.146,0
1238.55,1,0,0.618,0,0.569,0
2800.61,11,29.41,0.721,0,0.05,0
12402.5,10,0,0.786,0,0.28,0
4550.11,16,21.8,0.973,0,0.543,0
2888.18,19,0,0.688,0,0.205,0
2424.1,18,15.08,0.776,0,0.039,0
306.09,10,0,0.85,0,0.243,0
4509.26,19,19.95,0.854,1,0.21,0
5897.93,10,18.97,0.88,0,0.304,0
1019.47,19,0,0.908,0,0.178,0
1218.87,1,8.22,0.838,0,0.118,0
940.94,16,16.7,0.536,0,0.294,0
1113.94,22,27.74,0.782,0,0.4,0
1565.03,1,30.25,0.73,0,0.035,0
2626.96,11,29.91,0.682,0,0.413,0
915.68,16,17.55,0.739,0,0.098,0
3061.42,19,14.73,0.914,0,0.29,0
3732.07,9,0,0.875,0,0.209,0
1385.5,16,21.3,0.704,1,0.139,0
698.49,5,9.05,0.945,1,0.022,0
1140.89,11,0,0.837,0,0.179,0
669.53,4,0,0.855,0,0.496,0
1991.64,10,24.42,0.697,0,0.155,0
1189.92,15,0,0.598,0,0.378,0
5441.12,18,7.74,0.764,0,0.382,0
2491.97,6,0,0.892,0,0.279,0
463.85,1,19.3,0.705,0,0.033,0
3419.21,0,24.83,0.715,0,0.277,0
802.67,23,7.07,0.756,1,0.493,0
1695.53,7,30.65,0.851,1,0.196,0
3160.41,6,10.8,0.804,0,0.23,0
655.76,0,0,0.692,0,0.082,0
1388.4,3,7.35,0.523,1,0.21,0
966.59,12,6.5,0.68,0,0.441,0
5076.7,0,0,0.319,0,0.169,0
1590.93,12,13.27,0.693,0,0.16,0
3870.85,14,0,0.87,1,0.252,0
672.72,17,0.4,0.931,0,0.42,0
1185.81,23,31.67,0.685,0,0.254,0
988.02,6,33.39,0.676,0,0.372,0
934.71,19,0,0.874,0,0.261,0
1518.1,18,18.36,0.912,0,0.708,0
8128.64,20,0,0.977,0,0.205,0
7284.84,5,29.35,0.715,0,0.042,1
1991.66,19,27.54,0.748,0,0.213,0
1156.49,4,9.31,0.871,0,0.775,0
1830.89,4,10.47,0.823,0,0.017,0
9676.05,14,1.3,0.732,1,0.093,0
2693.77,22,19.58,0.89,0,0.118,0
900.01,4,14.31,0.933,0,0.105,0
4085.72,13,0,0.641,0,0.057,0
2850.2,18,7.49,0.751,0,0.377,0
1310.18,15,0,0.934,0,0.172,0
6281.12,4,59.76,0.686,0,0.138,0
1686.38,6,22.83,0.713,0,0.472,0
4393.91,0,10.03,0.687,0,0.337,0
2227.0,0,0,0.828,0,0.506,0
1256.14,4,13.09,0.695,0,0.275,0
946.43,23,6.35,0.896,0,0.063,0
1738.0,8,24.31,0.863,0,0.109,0
900.86,22,8.93,0.956,0,0.075,0
2958.63,8,5.98,0.722,0,0.072,0
1444.54,13,0,0.951,0,0.546,0
514.39,22,0,0.756,0,0.268,0
1628.93,8,8.72,0.812,0,0.139,0
1845.1,0,13.06,0.791,0,0.49,0
193.4,5,1.12,0.402,0,0.175,0
5538.63,20,13.19,0.68,0,0.477,0
4016.62,18,6.87,0.778,0,0.221,0
1354.72,12,0,0.8,0,0.097,0
5192.51,12,2.91,0.572,0,0.193,0
842.23,14,0,0.934,0,0.255,0
2466.0,15,0,0.792,0,0.146,0
300.38,13,14.91,0.633,0,0.221,0
196.58,23,0.01,0.919,0,0.145,0
2016.06,13,5.35,0.84,0,0.217,0
713.81,20,12.36,0.861,0,0.013,0
3091.99,3,0.31,0.794,0,0.162,0
1113.84,6,1.31,0.684,0,0.17,0
553.92,6,0,0.911,0,0.275,0
1411.29,13,0,0.726,0,0.225,0
4012.84,18,0,0.805,0,0.243,0
1320.5,7,0,0.633,0,0.088,0
1821.0,5,0,0.814,0,0.052,0
1178.74,9,0,0.948,0,0.199,0
1162.99,21,0,0.694,0,0.188,0
355.58,22,0,0.962,0,0.355,0
922.24,21,18.03,0.763,0,0.266,0
3577.19,0,0,0.748,0,0.391,0
13519.69,4,33.88,0.753,0,0.33,0
1118.16,7,7.93,0.76,0,0.452,0
330.28,11,0.17,0.652,0,0.313,0
1651.07,22,0,0.865,0,0.515,0
8784.33,7,0,0.802,0,0.37,0
585.03,11,3.57,0.696,0,0.173,0
1265.29,22,0,0.709,0,0.116,1
6915.91,17,0,0.953,0,0.368,0
543.67,1,1.94,0.855,0,0.211,0
1105.4,7,0,0.7,0,0.589,0
1753.68,13,0,0.863,0,0.134,0
1405.93,3,16.82,0.499,0,0.067,0
4788.86,0,0,0.575,0,0.332,0
865.16,12,4.41,0.794,0,0.233,0
418.33,14,31.49,0.781,0,0.115,0
681.72,2,5.65,0.882,0,0.137,0
1493.94,2,0,0.931,0,0.061,0
3469.11,22,30.86,0.71,0,0.219,0
1253.93,8,20.02,0.779,0,0.118,0
2146.0,7,0,0.779,0,0.117,0
2467.21,16,14.59,0.763,0,0.267,0
1350.13,0,4.06,0.446,0,0.412,0
1468.1,14,17.17,0.908,0,0.147,0
106.27,20,12.2,0.709,0,0.209,0
4682.8,1,3.64,0.818,0,0.586,0
1464.59,16,33.41,0.955,0,0.245,0
579.87,12,13.87,0.749,0,0.421,0
3381.46,5,23.58,0.608,0,0.204,0
2924.26,19,0.04,0.678,0,0.045,0
3302.48,7,16.31,0.802,0,0.296,0
500.7,13,0.27,0.941,1,0.17,0
611.94,9,9.15,0.7,1,0.151,0
2683.3,1,35.08,0.741,0,0.45,0
3562.45,5,30.32,0.853,1,0.354,1
4778.34,15,0,0.966,0,0.438,0
3244.23,7,15.98,0.823,1,0.126,0
3066.1,10,0,0.717,0,0.345,0
699.5,1,0,0.528,0,0.336,0
7582.22,21,19.25,0.707,1,0.485,0
583.77,8,28.01,0.701,0,0.277,0
5057.96,16,0,0.714,0,0.193,0
1381.47,19,0,0.908,0,0.46,1
990.9,14,0,0.593,1,0.445,0
3140.5,18,13.03,0.843,0,0.296,0
3204.58,21,29.49,0.876,0,0.28,0
2330.22,4,28.54,0.942,0,0.454,0
1188.76,2,0,0.873,0,0.174,0
3555.01,10,24.11,0.613,0,0.321,0
22735.92,15,0,0.851,0,0.052,0
1293.19,23,28.72,0.829,0,0.222,0
1140.66,13,0,0.934,0,0.14,0
1529.19,16,0,0.974,0,0.094,0
3533.29,3,21.3,0.801,0,0.213,0
2865.54,17,4.23,0.832,1,0.331,0
1502.61,5,2.22,0.907,0,0.467,0
6428.54,13,26.24,0.705,0,0.365,0
10303.26,9,8.61,0.831,1,0.079,0
6506.46,21,8.18,0.762,0,0.124,0
1618.25,20,31.64,0.884,0,0.495,0
259.5,21,8.79,0.987,1,0.29,0
930.61,0,25.36,0.94,0,0.095,0
841.38,14,10.31,0.84,0,0.347,0
13647.77,0,6.43,0.849,0,0.08,0
693.23,17,0,0.657,0,0.506,0
2684.42,3,14.62,0.612,0,0.207,0
760.68,23,28.36,0.814,0,0.74,0
710.06,19,17.99,0.697,0,0.617,0
331.62,18,5.26,0.767,1,0.284,0
191.3,23,23.59,0.838,1,0.527,0
703.21,9,16.1,0.919,0,0.033,0
1391.01,22,0,0.834,0,0.712,0
21688.38,13,21.42,0.72,0,0.202,0
3223.57,1,33.21,0.724,0,0.383,0
1867.34,2,9.02,0.842,0,0.094,0
1954.03,2,26.99,0.929,0,0.437,1
548.02,23,15.1,0.461,0,0.425,0
675.96,16,0,0.883,0,0.343,0
4452.66,1,1.38,0.705,0,0.286,0
1417.09,13,23.52,0.814,0,0.159,0
4797.73,1,0,0.812,0,0.229,0
4163.68,16,14.15,0.656,0,0.266,0
8281.63,12,6.08,0.889,0,0.186,0
2722.2,9,0,0.726,0,0.519,0
3926.27,20,0,0.856,0,0.268,0
1258.86,8,16.96,0.922,0,0.276,0
360.07,22,29.21,0.877,0,0.319,0
3253.74,7,16.64,0.952,0,0.415,0
1104.0,21,11.37,0.865,0,0.409,0
1265.05,16,17.93,0.77,1,0.043,0
3044.13,16,17.98,0.649,0,0.828,0
605.24,4,2.86,0.567,0,0.151,0
3418.59,6,0,0.72,1,0.226,0
3697.66,15,0,0.657,0,0.16,0
2534.16,23,16.57,0.877,0,0.475,0
6397.74,4,44.06,0.866,0,0.129,0
1955.43,6,9.48,0.754,0,0.38,0
3729.42,5,22.45,0.891,0,0.224,0
5476.47,21,2.53,0.689,0,0.326,0
944.33,3,26.22,0.559,0,0.612,0
1366.04,1,0,0.613,1,0.314,0
1880.96,21,20.73,0.747,0,0.69,0
1122.94,4,23.84,0.59,0,0.586,1
2205.81,11,0,0.767,0,0.504,0
1062.97,8,1.15,0.522,0,0.133,0
1412.34,2,13.06,0.863,0,0.369,0
4447.77,14,0.16,0.77,0,0.179,0
1773.98,9,13.13,0.638,0,0.33,0
1736.0,15,38.06,0.931,0,0.402,0
4545.9,12,0,0.418,0,0.073,0
2517.31,15,0,0.775,0,0.153,0
1244.26,3,0,0.945,0,0.17,0
2359.84,2,16.87,0.436,0,0.329,0
8545.73,14,8.78,0.506,0,0.674,0
3092.93,13,0,0.907,0,0.785,0
299.81,5,27.69,0.777,0,0.714,0
1485.64,2,0,0.867,0,0.415,0
538.76,17,4.32,0.804,0,0.401,0
3505.47,9,0.48,0.753,1,0.078,0
2411.41,5,0,0.74,0,0.205,0
1518.66,15,1.61,0.799,0,0.249,0
3908.0,7,13.67,0.504,0,0.428,0
200.84,11,6.91,0.822,0,0.43,0
26236.24,12,17.46,0.95,0,0.505,0
6280.53,18,25.09,0.782,0,0.078,1
3027.69,12,39.97,0.887,1,0.355,0
1690.98,1,16.91,0.799,1,0.27,0
774.13,23,34.94,0.917,0,0.089,0
2372.04,2,21.68,0.729,1,0.418,0
4600.36,5,11.07,0.846,0,0.151,0
4636.25,8,5.27,0.837,0,0.281,0
604.77,19,16.66,0.814,1,0.225,0
3205.66,7,17.89,0.862,0,0.203,0
6504.87,9,12.86,0.724,0,0.3,0
1121.36,23,0,0.924,0,0.576,0
352.83,20,0,0.781,0,0.416,0
1263.33,11,0,0.777,0,0.596,0
7531.92,14,9.65,0.856,1,0.666,1
1273.03,6,27.56,0.957,0,0.212,0
8055.39,18,0,0.607,0,0.127,0
5035.68,3,0,0.907,0,0.119,0
2883.02,14,9.48,0.769,0,0.19,0
2902.02,22,18.57,0.913,0,0.114,0
1988.43,1,0,0.673,0,0.276,0
7265.5,11,1.0,0.963,0,0.218,0
1621.39,5,0,0.873,1,0.586,0
6427.39,2,2.43,0.905,0,0.019,0
888.51,6,24.17,0.342,0,0.088,0
631.97,16,10.18,0.668,0,0.316,0
3056.45,9,0,0.952,0,0.188,0
381.01,12,27.81,0.842,0,0.314,0
2175.14,22,28.79,0.811,0,0.229,0
1152.01,23,8.61,0.892,0,0.169,0
765.67,0,4.64,0.831,0,0.028,0
2900.99,14,0,0.762,0,0.333,0
846.31,3,31.31,0.862,0,0.52,0
7969.99,13,0,0.703,0,0.054,0
1617.2,14,6.08,0.884,0,0.31,0
415.74,11,0,0.778,1,0.17,0
1566.06,13,4.36,0.945,1,0.343,0
2250.03,2,9.35,0.923,1,0.353,1
8221.47,22,3.36,0.758,0,0.128,0
3542.03,6,0,0.613,1,0.729,0
1695.34,7,11.69,0.794,0,0.186,0
4189.1,13,29.66,0.92,0,0.206,0
2610.33,17,0,0.938,0,0.193,0
909.46,14,31.64,0.782,0,0.129,0
2452.58,18,2.33,0.735,1,0.361,0
914.47,18,25.37,0.88,0,0.281,0
3408.1,21,18.29,0.768,1,0.348,0
774.62,21,26.05,0.833,0,0.28,0
14469.17,13,0,0.774,0,0.427,0
2021.88,4,26.75,0.738,0,0.006,0
1456.32,16,37.46,0.797,1,0.126,0
3281.09,19,2.3,0.869,0,0.144,0
4219.32,8,1.1,0.76,0,0.535,0
3073.88,8,0,0.77,1,0.364,0
680.52,3,0,0.79,0,0.247,0
1126.7,14,1.27,0.754,0,0.119,0
1668.59,23,24.51,0.601,0,0.172,0
1862.25,11,0,0.96,0,0.228,0
1474.01,10,0,0.983,0,0.187,0
3156.61,9,12.38,0.646,0,0.376,0
1213.12,3,0,0.707,1,0.528,1
4403.5,15,2.14,0.706,1,0.255,0
2055.37,17,0,0.945,0,0.261,0
5607.22,11,0,0.547,0,0.137,0
1918.93,15,17.06,0.644,0,0.346,0
949.44,21,0,0.83,0,0.072,0
2671.24,4,0,0.961,0,0.716,0
3922.15,19,3.54,0.808,0,0.491,0
6204.24,21,0,0.705,0,0.067,0
557.75,20,13.08,0.852,1,0.567,0
1833.08,2,21.93,0.932,0,0.344,0
276.18,6,0,0.576,0,0.333,0
1852.56,17,16.07,0.799,0,0.172,0
2103.56,15,30.72,0.896,0,0.205,0
1502.09,7,25.54,0.72,0,0.465,0
1848.34,18,0,0.873,0,0.332,0
7691.2,17,4.37,0.86,0,0.43,0
1058.56,7,4.0,0.787,0,0.643,0
4454.3,3,3.1,0.929,0,0.274,0
2967.74,2,37.11,0.512,0,0.592,1
636.42,1,22.56,0.639,0,0.45,0
2308.03,19,5.44,0.689,0,0.231,0
1242.46,18,8.67,0.55,0,0.081,0
359.65,20,0,0.906,0,0.415,0
3858.96,16,5.36,0.755,0,0.446,0
6476.25,8,27.85,0.849,0,0.221,0
3274.68,4,20.93,0.555,0,0.064,0
1790.59,18,32.27,0.672,0,0.095,0
483.7,10,10.77,0.915,0,0.36,0
1646.19,13,40.11,0.944,0,0.585,0
1304.44,21,23.73,0.881,0,0.152,0
494.52,10,7.39,0.579,0,0.26,0
6191.39,16,6.69,0.74,0,0.131,0
5071.24,4,17.98,0.856,0,0.095,0
1063.66,2,6.57,0.657,0,0.373,0
1548.49,17,12.61,0.701,0,0.162,0
5662.65,4,31.41,0.951,0,0.414,1
2709.67,0,0,0.908,0,0.383,0
526.83,9,0,0.852,0,0.318,0
4816.16,2,0,0.937,0,0.462,0
235.17,5,0,0.807,0,0.432,0
1594.81,4,0,0.854,1,0.187,0
5602.12,16,12.29,0.871,0,0.443,0
2293.39,17,0,0.686,0,0.355,0
2389.83,15,27.61,0.432,0,0.508,0
1281.0,5,7.04,0.967,0,0.228,0
657.75,20,9.65,0.586,0,0.373,0
1188.28,11,8.77,0.974,1,0.162,1
5000.84,14,29.35,0.714,0,0.299,0
3537.36,12,43.56,0.443,0,0.121,0
1687.68,19,18.68,0.87,0,0.129,0
3105.26,2,0,0.761,0,0.557,0
314.47,10,34.34,0.704,0,0.308,0
8193.32,6,46.06,0.907,0,0.507,0
3731.91,0,25.09,0.547,0,0.459,0
1112.36,4,34.48,0.889,0,0.302,0
5604.56,22,0,0.929,0,0.227,0
10723.95,11,3.63,0.733,0,0.393,0
9610.68,23,0,0.767,0,0.21,0
1565.57,1,0,0.535,0,0.472,0
417.0,12,22.21,0.712,0,0.282,0
4262.01,11,29.62,0.901,0,0.271,0
4249.85,20,9.16,0.71,0,0.545,0
3016.34,3,5.81,0.773,1,0.416,0
1074.23,9,0,0.948,1,0.379,0
3617.96,2,4.13,0.971,0,0.574,0
1790.63,12,0,0.656,0,0.176,0
11163.8,16,0,0.908,0,0.025,0
1939.25,5,26.33,0.881,0,0.342,0
671.49,22,1.6,0.606,0,0.236,0
1568.22,21,4.02,0.98,0,0.071,0
641.71,17,0,0.889,0,0.267,0
515.77,21,18.99,0.888,0,0.442,0
6559.64,4,0,0.754,0,0.277,0
941.75,21,0.92,0.952,0,0.336,0
3248.35,12,0,0.803,0,0.2,0
252.35,15,4.17,0.744,0,0.242,0
1298.02,6,24.01,0.452,0,0.239,0
479.01,1,0,0.783,0,0.592,1
619.42,11,0,0.939,0,0.267,0
529.31,4,0,0.847,1,0.143,0
5552.58,4,3.48,0.913,0,0.203,0
26348.31,7,0,0.759,0,0.047,0
627.68,9,11.03,0.661,0,0.171,0
5244.31,11,0,0.843,0,0.264,0
1168.52,21,0,0.81,0,0.149,0
1730.8,4,21.27,0.634,0,0.188,0
11266.98,14,0,0.749,0,0.469,0
293.1,21,3.68,0.877,0,0.372,0
463.19,18,26.8,0.913,0,0.119,0
964.57,1,0,0.758,0,0.128,1
8060.4,9,0,0.733,0,0.46,0
1405.53,22,28.68,0.667,0,0.261,0
2143.97,18,4.45,0.659,0,0.326,0
8657.52,16,0,0.773,0,0.303,0
1153.53,2,11.32,0.613,0,0.591,0
2146.34,13,0,0.633,0,0.187,0
2306.75,16,0,0.494,1,0.099,0
4538.6,9,0,0.846,0,0.223,0
2792.36,0,23.46,0.906,0,0.522,0
2631.52,15,27.04,0.818,0,0.368,0
262.61,9,15.52,0.857,0,0.31,0
3375.98,23,1.8,0.848,0,0.04,0
391.48,1,23.52,0.655,1,0.226,1
187.58,11,30.23,0.901,0,0.343,0
2373.91,4,21.36,0.971,0,0.402,0
512.96,14,9.37,0.644,0,0.086,0
868.1,18,0,0.879,0,0.152,0
3091.42,0,3.99,0.714,0,0.208,0
1609.64,15,2.97,0.605,0,0.065,0
285.62,20,18.51,0.771,0,0.491,0
805.83,7,0,0.684,1,0.376,0
1652.52,20,0,0.691,0,0.51,0
682.19,5,15.33,0.785,0,0.431,0
248.63,22,20.15,0.807,1,0.284,0
2463.43,16,5.69,0.695,0,0.42,0
1471.82,14,2.71,0.877,0,0.158,0
1211.87,13,9.7,0.634,0,0.393,0
5613.69,5,16.43,0.687,0,0.544,1
5446.11,1,26.86,0.917,0,0.085,1
1390.03,13,13.3,0.983,1,0.4,0
7444.32,20,0,0.609,0,0.182,0
2444.72,4,6.28,0.926,0,0.253,0
3189.33,23,0,0.789,0,0.263,0
2841.05,16,9.62,0.537,0,0.081,0
4531.9,6,0,0.915,0,0.55,0
8310.11,21,5.35,0.96,0,0.19,0
517.63,6,21.06,0.728,0,0.171,0
11432.27,5,0,0.784,0,0.208,0
290.49,16,6.73,0.835,0,0.157,0
6865.94,3,0,0.754,0,0.02,0
314.41,19,22.27,0.907,0,0.248,0
7178.38,22,22.71,0.802,0,0.378,0
7812.64,5,2.09,0.659,0,0.302,0
433.41,18,16.88,0.776,0,0.263,0
2209.25,2,17.42,0.865,0,0.465,0
2057.91,12,5.17,0.955,1,0.334,1
481.65,17,3.72,0.776,1,0.331,0
1973.18,19,4.82,0.626,0,0.573,0
1437.44,0,13.23,0.851,0,0.658,0
805.41,18,30.02,0.681,0,0.254,0
1658.74,20,9.25,0.846,1,0.165,0
998.39,13,4.43,0.859,0,0.309,0
2381.18,6,27.71,0.835,0,0.138,0
1580.29,7,0,0.789,0,0.356,0
1099.01,5,40.7,0.644,0,0.49,0
1996.79,11,0,0.852,0,0.542,0
2573.93,1,5.47,0.759,0,0.49,0
2183.93,23,12.21,0.695,0,0.171,0
702.04,0,9.34,0.535,0,0.625,0
1685.63,0,15.63,0.865,0,0.127,0
1227.65,16,25.09,0.788,0,0.237,0
2342.3,2,13.55,0.841,0,0.57,0
2902.88,3,2.7,0.84,0,0.362,0
4525.7,14,0,0.754,0,0.275,0
350.46,5,18.04,0.748,0,0.579,0
6439.95,2,20.69,0.64,0,0.315,0
1055.18,5,0,0.672,0,0.474,0
1745.18,8,5.84,0.358,0,0.526,0
876.75,13,25.71,0.904,0,0.218,0
7247.69,6,0,0.632,1,0.287,0
1279.8,13,13.05,0.621,0,0.047,0
740.7,16,9.37,0.814,1,0.357,0
563.85,22,21.51,0.601,1,0.303,0
1315.39,18,8.6,0.833,1,0.157,0
1833.04,15,9.49,0.731,0,0.093,0
2528.61,3,11.26,0.868,1,0.325,1
1762.73,8,17.77,0.759,0,0.371,0
2440.03,1,20.23,0.665,0,0.464,0
8333.54,8,25.34,0.853,0,0.513,0
1349.02,17,0,0.666,0,0.084,0
412.59,17,0,0.625,0,0.352,0
5771.63,16,12.1,0.942,0,0.272,0
3594.68,11,0.35,0.962,0,0.508,0
1978.03,19,10.48,0.925,0,0.442,0
1518.57,8,21.02,0.909,0,0.167,0
773.33,3,0,0.961,0,0.095,0
461.15,12,20.15,0.825,0,0.024,0
929.85,18,0,0.928,1,0.419,0
362.01,2,0,0.557,0,0.069,0
1133.42,4,0,0.899,0,0.174,0
2998.92,23,27.0,0.64,0,0.048,0
1045.49,13,0,0.426,1,0.363,0
2080.01,17,0,0.416,0,0.399,0
1874.58,6,0,0.857,1,0.377,0
175.59,4,18.89,0.469,0,0.613,0
5631.74,8,14.51,0.903,0,0.346,1
4093.86,23,9.53,0.698,0,0.5,1
1920.36,18,10.06,0.946,0,0.204,0
1559.7,23,19.01,0.605,0,0.551,0
5116.33,18,0,0.871,1,0.695,0
715.59,17,0,0.708,0,0.024,0
211.08,8,0,0.83,0,0.137,0
11016.92,17,27.37,0.817,0,0.028,0
6633.88,11,0,0.866,0,0.339,0
2055.38,17,19.64,0.555,0,0.214,0
2250.18,8,18.42,0.927,0,0.209,0
1485.03,4,39.95,0.542,0,0.487,0
22062.75,14,13.96,0.699,0,0.148,0
5697.67,4,7.17,0.887,0,0.39,0
863.38,11,21.89,0.927,0,0.587,0
925.78,2,0,0.964,1,0.295,0
3896.42,9,0,0.706,0,0.109,0
3013.36,8,0,0.529,1,0.518,0
1690.77,21,3.82,0.827,0,0.14,0
455.07,8,9.92,0.936,0,0.267,0
603.06,9,5.85,0.826,0,0.105,0
2583.96,18,0,0.852,0,0.087,0
1526.84,13,0,0.317,0,0.155,0
667.98,9,20.03,0.944,0,0.132,0
1431.16,22,0,0.752,0,0.3,0
510.0,18,0,0.759,0,0.056,0
837.8,0,0,0.854,0,0.245,0
3252.97,12,16.7,0.972,0,0.331,0
1269.54,7,6.0,0.925,0,0.129,0
5551.51,8,14.84,0.778,0,0.21,0
5016.93,2,2.54,0.914,0,0.099,0
1373.26,22,10.98,0.899,1,0.078,0
21635.46,3,0,0.808,0,0.217,0
3307.84,18,0,0.866,0,0.057,0
557.63,9,21.89,0.796,0,0.145,0
15246.96,15,0,0.924,0,0.523,0
13578.29,21,3.77,0.666,0,0.338,0
473.23,8,18.68,0.946,0,0.509,0
1574.04,11,20.29,0.786,0,0.288,0
8117.3,12,0,0.686,1,0.607,0
2428.92,8,2.06,0.761,0,0.066,0
1310.2,2,0,0.823,0,0.683,1
2764.13,20,0,0.524,0,0.332,0
1321.6,17,0,0.616,0,0.135,0
516.59,8,18.79,0.807,1,0.372,0
767.97,14,21.57,0.909,0,0.175,0
1307.72,11,38.58,0.71,0,0.111,0
617.11,11,0.72,0.96,0,0.176,0
2645.1,6,0,0.673,1,0.395,1
7743.7,5,10.36,0.832,0,0.28,0
1065.36,5,13.56,0.873,0,0.401,0
8940.38,1,10.29,0.754,0,0.221,0
1448.76,13,23.11,0.943,0,0.154,0
2302.78,10,8.13,0.834,1,0.248,0
1385.05,0,0,0.51,0,0.237,0
835.99,13,15.36,0.735,0,0.079,0
1233.68,0,0,0.914,0,0.237,0
2535.22,21,17.83,0.782,0,0.565,0
2906.07,21,0,0.569,0,0.326,0
935.59,7,8.95,0.669,0,0.25,0
1080.13,6,0,0.863,0,0.438,0
